Code,Name,Percentage,Year
697,Texas A&M,0.48818898,2008
698,TCU,0.56153846,2008
700,Texas Tech,0.5785124,2008
703,Texas,0.62237762,2008
704,UTEP,0.50364964,2008
709,Toledo,0.44360902,2008
716,Troy,0.4496124,2008
718,Tulane,0.47761194,2008
719,Tulsa,0.41549296,2008
721,Air Force,0.54330709,2008
725,Army,0.45528455,2008
726,Navy,0.50757576,2008
731,Utah St.,0.54545455,2008
732,Utah,0.54887218,2008
736,Vanderbilt,0.53846154,2008
742,Virginia Tech,0.57142857,2008
746,Virginia,0.59349593,2008
749,Wake Forest,0.51449275,2008
754,Washington St.,0.49264706,2008
756,Washington,0.55797101,2008
768,West Virginia,0.52671756,2008
774,Western Mich.,0.48120301,2008
796,Wisconsin,0.51538462,2008
811,Wyoming,0.51260504,2008
5,Akron,0.45801527,2007
8,Alabama,0.58518519,2007
9,UAB,0.50793651,2007
28,Arizona St.,0.53061224,2007
29,Arizona,0.59055118,2007
30,Arkansas St.,0.43283582,2007
31,Arkansas,0.54814815,2007
37,Auburn,0.57251908,2007
47,Ball St.,0.45185185,2007
51,Baylor,0.55645161,2007
66,Boise St.,0.42635659,2007
67,Boston College,0.55172414,2007
71,Bowling Green,0.41605839,2007
77,BYU,0.5112782,2007
86,Buffalo,0.40151515,2007
96,Fresno St.,0.4488189,2007
107,California,0.53741497,2007
110,UCLA,0.5890411,2007
128,UCF,0.49673203,2007
129,Central Mich.,0.4379562,2007
140,Cincinnati,0.52307692,2007
147,Clemson,0.55223881,2007
156,Colorado St.,0.51612903,2007
157,Colorado,0.54482759,2007
164,Connecticut,0.51879699,2007
193,Duke,0.52238806,2007
196,East Caro.,0.5035461,2007
204,Eastern Mich.,0.44444444,2007
229,Fla. Atlantic,0.43262411,2007
231,Florida Int'l,0.46969697,2007
234,Florida St.,0.51369863,2007
235,Florida,0.62142857,2007
255,Georgia Tech,0.5112782,2007
257,Georgia,0.60305344,2007
277,Hawaii,0.41525424,2007
288,Houston,0.39694656,2007
295,Idaho,0.43589744,2007
301,Illinois,0.60447761,2007
306,Indiana,0.5,2007
311,Iowa St.,0.56910569,2007
312,Iowa,0.43410853,2007
327,Kansas St.,0.55371901,2007
328,Kansas,0.49242424,2007
331,Kent St.,0.43801653,2007
334,Kentucky,0.6,2007
365,LSU,0.59090909,2007
366,Louisiana Tech,0.45378151,2007
367,Louisville,0.56198347,2007
388,Marshall,0.544,2007
392,Maryland,0.56296296,2007
404,Memphis,0.3740458,2007
414,Miami (Ohio),0.40559441,2007
415,Miami (Fla.),0.47407407,2007
416,Michigan St.,0.55944056,2007
418,Michigan,0.57142857,2007
419,Middle Tenn. St.,0.45669291,2007
428,Minnesota,0.57723577,2007
430,Mississippi St.,0.57037037,2007
433,Mississippi,0.6097561,2007
434,Missouri,0.57746479,2007
457,North Carolina,0.50406504,2007
463,Nebraska,0.60294118,2007
465,UNLV,0.51908397,2007
466,Nevada,0.41269841,2007
472,New Mexico St.,0.44827586,2007
473,New Mexico,0.44186047,2007
490,North Carolina St.,0.57142857,2007
497,North Texas,0.41732283,2007
498,La.-Monroe,0.45528455,2007
503,Northern Ill.,0.38135593,2007
509,Northwestern,0.475,2007
513,Notre Dame,0.5620438,2007
518,Ohio St.,0.55223881,2007
519,Ohio,0.4,2007
521,Oklahoma St.,0.61940299,2007
522,Oklahoma,0.57324841,2007
528,Oregon St.,0.57246377,2007
529,Oregon,0.59183673,2007
539,Penn St.,0.52777778,2007
545,Pittsburgh,0.57377049,2007
559,Purdue,0.54198473,2007
574,Rice,0.425,2007
587,Rutgers,0.52671756,2007
626,San Diego St.,0.55284553,2007
630,San Jose St.,0.43589744,2007
648,South Carolina,0.60162602,2007
651,South Fla.,0.59701493,2007
657,Southern California,0.48630137,2007
663,Southern Methodist,0.44776119,2007
664,Southern Miss.,0.46616541,2007
671,La.-Lafayette,0.45528455,2007
674,Stanford,0.51824818,2007
688,Syracuse,0.53383459,2007
690,Temple,0.42307692,2007
694,Tennessee,0.59354839,2007
697,Texas A&M,0.62962963,2007
698,TCU,0.46478873,2007
700,Texas Tech,0.5,2007
703,Texas,0.53793103,2007
704,UTEP,0.47154472,2007
709,Toledo,0.47058824,2007
716,Troy,0.46031746,2007
718,Tulane,0.42622951,2007
719,Tulsa,0.46710526,2007
721,Air Force,0.47727273,2007
725,Army,0.544,2007
726,Navy,0.40909091,2007
731,Utah St.,0.45384615,2007
732,Utah,0.5,2007
736,Vanderbilt,0.55284553,2007
