Name,Team,G,Receiving,Rec,Yds,Y/G,Avg,Lng,TD,RUSHING,Rush,Yds,Y/G,Avg,TD,Year,Position
Garrett Lepisto,UCLA,4,,3,51,12.8,17,25,0,,0,0,0,N/A,0,2003,WR
Jacob Gonzales,UTEP,5,,4,49,9.8,12.3,27,2,,1,-10,-2,-10,0,2003,WR
Kevin Roach,ECU,4,,4,49,12.3,12.3,18,0,,0,0,0,N/A,0,2003,WR
Adam Gray-Hayward,SDg St,3,,6,49,16.3,8.2,18,0,,0,0,0,N/A,0,2003,WR
Michael Collins,Clem,3,,4,49,16.3,12.3,16,0,,0,0,0,N/A,0,2003,WR
Antonio Hargro,MS St,2,,2,49,24.5,24.5,31,1,,0,0,0,N/A,0,2003,WR
Da'Bar Fluellen,UCF,3,,5,48,16,9.6,13,1,,1,0,0,0,0,2003,WR
Edwin Rios,ECU,7,,10,48,6.9,4.8,20,0,,3,22,3.1,7.3,0,2003,WR
Jason Deml,ULM,6,,6,48,8,8,12,0,,1,3,0.5,3,0,2003,WR
Kenny Higgins,Tole,3,,4,48,16,12,26,0,,0,0,0,N/A,0,2003,WR
Jomo Fagan,Tenn,3,,3,47,15.7,15.7,21,0,,0,0,0,N/A,0,2003,WR
Chris Rhoden,USM,3,,3,47,15.7,15.7,21,1,,0,0,0,N/A,0,2003,WR
Kyle Conerly,SDg St,11,,2,47,23.5,23.5,37,0,,0,0,0,N/A,0,2003,WR
S.J. Green,S Fla,4,,4,45,11.3,11.3,15,1,,0,0,0,N/A,0,2003,WR
Jakari Wallace,Minn,4,,3,44,11,14.7,23,1,,3,29,7.3,9.7,0,2003,WR
Dustin Osborn,CO St,2,,3,44,22,14.7,21,1,,0,0,0,N/A,0,2003,WR
Harrison Arceneaux,Hous,1,,1,44,44,44,44,1,,0,0,0,N/A,0,2003,WR
Morris Ellington,Akrn,5,,8,43,8.6,5.4,9,0,,0,0,0,N/A,0,2003,WR
Brandon Johnson,WMU,4,,5,43,10.8,8.6,19,0,,0,0,0,N/A,0,2003,WR
