Institution ID,Institution,Game Date,Uniform Number,Last Name,First Name,Rushing,,,,,Passing,,,,,,Total Off.,,Receiving,,,Pass Int,,,Fumble Ret,,,Punting,,Punt Ret,,,KO Ret,,,Total TD,Off xpts,,,,Def xpts,,,,FG,,Saf,Points
,,,,,,Rushes,Gain,Loss,Net,TD,Att,Cmp,Int,Yards,TD,Conv,Plays,Yards,No.,Yards,TD,No.,Yards,TD,No.,Yards,TD,No.,Yards,No.,Yards,TD,No.,Yards,TD,,Kicks Att,Kicks Made,R/P Att,R/P Made,Kicks Att,Kicks Made,Int/Fum Att,Int/Fum Made,Att,Made,,
721,Air Force,9/9/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,28,DANQUAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/9/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/28/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,4,DUFFY,KURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,43,FIEBERKORN,,1,10,0,10,0,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/9/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
